order_id,distribution_center_name,delivery_days
99870,New Orleans LA,0
100024,Port Authority of New York/New Jersey NY/NJ,0
100432,Mobile AL,0
100432,Savannah GA,0
100432,Charleston SC,0
100432,New Orleans LA,0
100792,Houston TX,0
100981,Mobile AL,0
100981,Chicago IL,0
101108,Chicago IL,0
101135,Houston TX,0
101135,Savannah GA,0
102157,Houston TX,0
102671,Chicago IL,0
103666,Houston TX,0
104035,Memphis TN,0
104749,Los Angeles CA,0
104989,Memphis TN,0
104989,Los Angeles CA,0
106259,Los Angeles CA,0
107392,Memphis TN,0
108520,Charleston SC,0
108762,Philadelphia PA,0
108762,Port Authority of New York/New Jersey NY/NJ,0
108797,Memphis TN,0
112003,Chicago IL,0
112094,Chicago IL,0
113978,Chicago IL,0
113978,Houston TX,0
113978,Philadelphia PA,0
115228,Charleston SC,0
115285,New Orleans LA,0
115609,Los Angeles CA,0
116840,Charleston SC,0
116840,Chicago IL,0
118708,Chicago IL,0
119751,Chicago IL,0
121143,Los Angeles CA,0
121143,Philadelphia PA,0
121143,Charleston SC,0
121143,New Orleans LA,0
121250,Port Authority of New York/New Jersey NY/NJ,0
121250,Philadelphia PA,0
121329,Houston TX,0
122410,Philadelphia PA,0
124375,Philadelphia PA,0
124388,Port Authority of New York/New Jersey NY/NJ,0
124598,Chicago IL,0
124598,Los Angeles CA,0
1482,New Orleans LA,0
2647,New Orleans LA,0
3204,Charleston SC,0
4130,Savannah GA,0
4652,New Orleans LA,0
5599,New Orleans LA,0
5923,Mobile AL,0
5923,Mobile AL,0
5923,Mobile AL,0
6273,Houston TX,0
9807,New Orleans LA,0
10165,Los Angeles CA,0
10165,Houston TX,0
11865,Savannah GA,0
11925,Savannah GA,0
12969,Mobile AL,0
13265,Chicago IL,0
15956,Houston TX,0
16293,Mobile AL,0
17455,Port Authority of New York/New Jersey NY/NJ,0
17455,Memphis TN,0
17455,Memphis TN,0
17589,Memphis TN,0
18820,Charleston SC,0
20270,Charleston SC,0
20270,Los Angeles CA,0
20518,Charleston SC,0
20518,Chicago IL,0
20915,Charleston SC,0
20915,Port Authority of New York/New Jersey NY/NJ,0
21150,Houston TX,0
22618,Los Angeles CA,0
23216,Memphis TN,0
23216,Chicago IL,0
23848,Chicago IL,0
23848,Port Authority of New York/New Jersey NY/NJ,0
23848,Los Angeles CA,0
27016,Los Angeles CA,0
27812,Charleston SC,0
28752,Los Angeles CA,0
28752,Philadelphia PA,0
30576,Philadelphia PA,0
31053,New Orleans LA,0
31443,Chicago IL,0
31714,Chicago IL,0
32337,New Orleans LA,0
32990,Chicago IL,0
32990,Memphis TN,0
32990,Houston TX,0
33651,Chicago IL,0
36497,Port Authority of New York/New Jersey NY/NJ,0
37180,Houston TX,0
40735,Philadelphia PA,0
43456,Mobile AL,0
43456,Port Authority of New York/New Jersey NY/NJ,0
43619,Chicago IL,0
43619,Port Authority of New York/New Jersey NY/NJ,0
44916,Los Angeles CA,0
46447,Savannah GA,0
47196,New Orleans LA,0
47196,Memphis TN,0
47868,Mobile AL,0
47868,Savannah GA,0
47961,Houston TX,0
48129,Mobile AL,0
48182,Philadelphia PA,0
48182,Chicago IL,0
48854,Memphis TN,0
49270,Charleston SC,0
49833,Los Angeles CA,0
51101,Houston TX,0
52257,Chicago IL,0
55612,Charleston SC,0
57335,Philadelphia PA,0
57821,Port Authority of New York/New Jersey NY/NJ,0
58177,Savannah GA,0
59097,Charleston SC,0
59134,Houston TX,0
59134,Los Angeles CA,0
59134,Mobile AL,0
59134,New Orleans LA,0
59871,Savannah GA,0
60827,Houston TX,0
60848,Memphis TN,0
62518,Chicago IL,0
63260,Houston TX,0
63260,Memphis TN,0
64002,Mobile AL,0
64002,Port Authority of New York/New Jersey NY/NJ,0
64002,Chicago IL,0
65213,Chicago IL,0
65213,Mobile AL,0
65652,Houston TX,0
65652,Memphis TN,0
65725,Philadelphia PA,0
66136,Savannah GA,0
66475,Houston TX,0
66839,Los Angeles CA,0
67069,Chicago IL,0
67150,Port Authority of New York/New Jersey NY/NJ,0
67876,Port Authority of New York/New Jersey NY/NJ,0
68354,Charleston SC,0
68757,Philadelphia PA,0
70339,Los Angeles CA,0
70339,Houston TX,0
71214,Philadelphia PA,0
71214,Port Authority of New York/New Jersey NY/NJ,0
71720,Chicago IL,0
71726,New Orleans LA,0
72106,Charleston SC,0
72824,Memphis TN,0
74261,Houston TX,0
75126,Savannah GA,0
75691,Savannah GA,0
77172,Los Angeles CA,0
77203,Houston TX,0
77203,Memphis TN,0
77300,Memphis TN,0
78860,Memphis TN,0
81153,Philadelphia PA,0
81153,Port Authority of New York/New Jersey NY/NJ,0
82590,Memphis TN,0
83718,Port Authority of New York/New Jersey NY/NJ,0
83718,Houston TX,0
84838,Memphis TN,0
84838,Savannah GA,0
85944,Charleston SC,0
86111,Chicago IL,0
86616,Mobile AL,0
87160,Mobile AL,0
87683,New Orleans LA,0
87965,Mobile AL,0
87968,Houston TX,0
89199,Port Authority of New York/New Jersey NY/NJ,0
90081,Houston TX,0
91115,Savannah GA,0
91115,Chicago IL,0
91115,Philadelphia PA,0
91115,Savannah GA,0
92245,Philadelphia PA,0
92245,Memphis TN,0
94164,Charleston SC,0
97069,Houston TX,0
97069,Chicago IL,0
97290,Port Authority of New York/New Jersey NY/NJ,0
97290,Charleston SC,0
97290,Savannah GA,0
97290,Port Authority of New York/New Jersey NY/NJ,0
98107,Houston TX,0
99393,Port Authority of New York/New Jersey NY/NJ,0
99956,Port Authority of New York/New Jersey NY/NJ,0
100323,Houston TX,0
100895,Philadelphia PA,0
100895,Savannah GA,0
101767,Memphis TN,0
102017,Mobile AL,0
102060,Philadelphia PA,0
102060,Memphis TN,0
102060,Philadelphia PA,0
102060,Memphis TN,0
102784,Savannah GA,0
102846,Memphis TN,0
104693,Chicago IL,0
104878,Los Angeles CA,0
104878,Savannah GA,0
104878,Mobile AL,0
106134,Savannah GA,0
106914,Houston TX,0
106914,Port Authority of New York/New Jersey NY/NJ,0
107331,New Orleans LA,0
107579,Houston TX,0
107708,Houston TX,0
107949,Mobile AL,0
108453,Port Authority of New York/New Jersey NY/NJ,0
108767,Memphis TN,0
108767,Charleston SC,0
108767,Memphis TN,0
108767,Memphis TN,0
109901,Port Authority of New York/New Jersey NY/NJ,0
109901,Mobile AL,0
110695,Memphis TN,0
111377,Charleston SC,0
111377,Houston TX,0
111377,Chicago IL,0
111560,Los Angeles CA,0
111560,Houston TX,0
111626,Port Authority of New York/New Jersey NY/NJ,0
111667,New Orleans LA,0
112075,Mobile AL,0
114966,Houston TX,0
115789,Los Angeles CA,0
115789,Memphis TN,0
115789,Port Authority of New York/New Jersey NY/NJ,0
117078,Houston TX,0
117087,Memphis TN,0
119818,Mobile AL,0
119858,Savannah GA,0
120095,Charleston SC,0
120549,Houston TX,0
121019,Port Authority of New York/New Jersey NY/NJ,0
121168,Mobile AL,0
121599,Savannah GA,0
121599,Los Angeles CA,0
122155,Philadelphia PA,0
122897,Mobile AL,0
123032,Mobile AL,0
123033,Los Angeles CA,0
123300,Charleston SC,0
123300,Charleston SC,0
123300,Los Angeles CA,0
123514,Memphis TN,0
123514,New Orleans LA,0
124604,Savannah GA,0
43,Charleston SC,1
43,Philadelphia PA,1
346,Port Authority of New York/New Jersey NY/NJ,1
846,Savannah GA,1
846,Memphis TN,1
846,Houston TX,1
911,Philadelphia PA,1
1024,Chicago IL,1
1024,Los Angeles CA,1
1024,Philadelphia PA,1
1024,Savannah GA,1
1116,New Orleans LA,1
1263,Los Angeles CA,1
1405,Houston TX,1
1611,Charleston SC,1
1725,Chicago IL,1
1751,New Orleans LA,1
1851,Houston TX,1
1851,Philadelphia PA,1
1885,Houston TX,1
1885,Chicago IL,1
2130,Los Angeles CA,1
2222,Savannah GA,1
2481,Los Angeles CA,1
2481,Chicago IL,1
2540,Philadelphia PA,1
2774,Savannah GA,1
2788,Philadelphia PA,1
2817,Charleston SC,1
2855,Houston TX,1
2924,Chicago IL,1
2925,New Orleans LA,1
2931,Chicago IL,1
2931,Charleston SC,1
2996,Charleston SC,1
2996,Houston TX,1
3153,New Orleans LA,1
3213,Los Angeles CA,1
3213,Savannah GA,1
3213,Los Angeles CA,1
3268,Los Angeles CA,1
3268,Savannah GA,1
3268,Houston TX,1
3268,Chicago IL,1
3328,Savannah GA,1
3328,New Orleans LA,1
3328,Memphis TN,1
3414,Port Authority of New York/New Jersey NY/NJ,1
3414,Chicago IL,1
3414,Mobile AL,1
3414,Mobile AL,1
3547,Mobile AL,1
3547,New Orleans LA,1
3547,Chicago IL,1
3547,Port Authority of New York/New Jersey NY/NJ,1
3588,Houston TX,1
3588,New Orleans LA,1
3588,Savannah GA,1
3755,New Orleans LA,1
3755,Memphis TN,1
3755,Mobile AL,1
3755,Memphis TN,1
3785,Houston TX,1
3785,Charleston SC,1
3785,Houston TX,1
3785,Savannah GA,1
3791,Mobile AL,1
3849,Port Authority of New York/New Jersey NY/NJ,1
3849,Chicago IL,1
3849,Port Authority of New York/New Jersey NY/NJ,1
3849,New Orleans LA,1
3903,Los Angeles CA,1
3903,Savannah GA,1
4122,New Orleans LA,1
4129,Houston TX,1
4512,New Orleans LA,1
4612,New Orleans LA,1
4612,Chicago IL,1
4612,Houston TX,1
4613,Philadelphia PA,1
5038,Chicago IL,1
5038,Charleston SC,1
5038,Houston TX,1
5126,Los Angeles CA,1
5170,New Orleans LA,1
5189,Memphis TN,1
5327,New Orleans LA,1
5327,Los Angeles CA,1
5575,Los Angeles CA,1
5575,Philadelphia PA,1
5575,Houston TX,1
5575,Memphis TN,1
5781,Houston TX,1
5838,Chicago IL,1
5844,Mobile AL,1
5893,Mobile AL,1
6052,Port Authority of New York/New Jersey NY/NJ,1
6301,Memphis TN,1
6301,Chicago IL,1
6416,Philadelphia PA,1
6608,New Orleans LA,1
6710,Philadelphia PA,1
6711,Los Angeles CA,1
6771,Chicago IL,1
6771,Philadelphia PA,1
6771,Mobile AL,1
6801,Houston TX,1
7057,Memphis TN,1
7245,Charleston SC,1
7282,Charleston SC,1
7427,Mobile AL,1
7497,Savannah GA,1
7497,Port Authority of New York/New Jersey NY/NJ,1
7543,Chicago IL,1
7604,Mobile AL,1
7604,Savannah GA,1
7661,Houston TX,1
7661,Port Authority of New York/New Jersey NY/NJ,1
7874,New Orleans LA,1
8199,Port Authority of New York/New Jersey NY/NJ,1
8258,Port Authority of New York/New Jersey NY/NJ,1
8258,Chicago IL,1
8258,Chicago IL,1
8313,Chicago IL,1
8886,Houston TX,1
8886,Los Angeles CA,1
8908,Port Authority of New York/New Jersey NY/NJ,1
8941,Chicago IL,1
9375,Philadelphia PA,1
9825,New Orleans LA,1
9852,Philadelphia PA,1
9858,Port Authority of New York/New Jersey NY/NJ,1
9915,Chicago IL,1
9915,Houston TX,1
9936,Philadelphia PA,1
9936,New Orleans LA,1
9960,Charleston SC,1
9960,Port Authority of New York/New Jersey NY/NJ,1
10037,Philadelphia PA,1
10037,New Orleans LA,1
10038,Chicago IL,1
10634,Philadelphia PA,1
10675,Philadelphia PA,1
10788,Savannah GA,1
11043,Port Authority of New York/New Jersey NY/NJ,1
11055,Memphis TN,1
11058,Chicago IL,1
11313,Los Angeles CA,1
11413,Charleston SC,1
11503,Chicago IL,1
11625,Chicago IL,1
11983,Memphis TN,1
12227,Charleston SC,1
12271,Memphis TN,1
12310,Houston TX,1
12497,Savannah GA,1
12500,Los Angeles CA,1
12500,Houston TX,1
12500,New Orleans LA,1
12500,Chicago IL,1
12531,Charleston SC,1
12873,New Orleans LA,1
12873,New Orleans LA,1
12882,New Orleans LA,1
12892,Mobile AL,1
12989,Memphis TN,1
12989,Los Angeles CA,1
13161,Houston TX,1
13161,Houston TX,1
13181,Chicago IL,1
13466,Philadelphia PA,1
13539,Memphis TN,1
14055,Houston TX,1
14291,Philadelphia PA,1
14634,Memphis TN,1
14634,New Orleans LA,1
14934,Port Authority of New York/New Jersey NY/NJ,1
14955,Chicago IL,1
14955,Charleston SC,1
15327,Chicago IL,1
15327,Savannah GA,1
15327,Los Angeles CA,1
15346,Charleston SC,1
15346,Memphis TN,1
15346,Charleston SC,1
15346,Houston TX,1
15708,Charleston SC,1
15766,Chicago IL,1
15901,Chicago IL,1
15972,Chicago IL,1
15972,Charleston SC,1
15972,Charleston SC,1
15972,Houston TX,1
16320,Port Authority of New York/New Jersey NY/NJ,1
16320,Houston TX,1
16326,Los Angeles CA,1
16326,Port Authority of New York/New Jersey NY/NJ,1
16333,Port Authority of New York/New Jersey NY/NJ,1
16446,Memphis TN,1
16894,Charleston SC,1
16894,Chicago IL,1
17041,Charleston SC,1
17041,Chicago IL,1
17041,Houston TX,1
17041,Houston TX,1
17332,Los Angeles CA,1
17332,Memphis TN,1
17807,New Orleans LA,1
17850,Houston TX,1
17866,Mobile AL,1
17876,Savannah GA,1
17903,New Orleans LA,1
18164,Savannah GA,1
18164,Savannah GA,1
18240,Port Authority of New York/New Jersey NY/NJ,1
18245,Houston TX,1
18461,Chicago IL,1
18461,Los Angeles CA,1
18496,New Orleans LA,1
18496,Charleston SC,1
18496,Mobile AL,1
18496,New Orleans LA,1
18525,Memphis TN,1
18847,Houston TX,1
18884,Mobile AL,1
18884,Houston TX,1
18927,Houston TX,1
19078,Charleston SC,1
19078,Los Angeles CA,1
19129,New Orleans LA,1
19198,Charleston SC,1
19198,Los Angeles CA,1
19198,Chicago IL,1
19198,Memphis TN,1
19408,Los Angeles CA,1
19565,Memphis TN,1
19573,New Orleans LA,1
19651,Charleston SC,1
19651,Philadelphia PA,1
19659,Chicago IL,1
19659,Charleston SC,1
19659,Los Angeles CA,1
19844,Houston TX,1
19844,Los Angeles CA,1
19844,Philadelphia PA,1
19874,Chicago IL,1
20110,Chicago IL,1
20146,Philadelphia PA,1
20146,Mobile AL,1
20260,Los Angeles CA,1
20315,Houston TX,1
20315,Philadelphia PA,1
20424,Port Authority of New York/New Jersey NY/NJ,1
20463,Memphis TN,1
20523,Port Authority of New York/New Jersey NY/NJ,1
20523,Charleston SC,1
20523,Houston TX,1
20523,Chicago IL,1
20767,Houston TX,1
20776,Mobile AL,1
20859,Memphis TN,1
20859,Port Authority of New York/New Jersey NY/NJ,1
20859,Memphis TN,1
20859,Philadelphia PA,1
20946,Mobile AL,1
20946,Memphis TN,1
20954,New Orleans LA,1
20954,Memphis TN,1
21106,Houston TX,1
21181,Chicago IL,1
21181,Houston TX,1
21258,Los Angeles CA,1
21694,Mobile AL,1
21967,Savannah GA,1
22204,Chicago IL,1
22239,Savannah GA,1
22239,Charleston SC,1
22239,Savannah GA,1
22239,Philadelphia PA,1
22360,Memphis TN,1
22403,Chicago IL,1
22628,Charleston SC,1
22628,Memphis TN,1
22628,Savannah GA,1
22628,Savannah GA,1
22630,New Orleans LA,1
22640,Chicago IL,1
22640,Los Angeles CA,1
22886,Port Authority of New York/New Jersey NY/NJ,1
22916,Savannah GA,1
22930,Chicago IL,1
22938,New Orleans LA,1
23020,Houston TX,1
23084,Los Angeles CA,1
23206,Houston TX,1
23206,Port Authority of New York/New Jersey NY/NJ,1
23253,Chicago IL,1
23295,Los Angeles CA,1
23295,Houston TX,1
23375,Port Authority of New York/New Jersey NY/NJ,1
23461,Memphis TN,1
23590,Memphis TN,1
23602,Charleston SC,1
23752,Port Authority of New York/New Jersey NY/NJ,1
24123,Mobile AL,1
24248,Port Authority of New York/New Jersey NY/NJ,1
24408,Houston TX,1
24429,Philadelphia PA,1
24473,Charleston SC,1
24498,Charleston SC,1
24521,Houston TX,1
24529,Philadelphia PA,1
24620,Savannah GA,1
24713,New Orleans LA,1
24819,Memphis TN,1
24819,Mobile AL,1
24819,Memphis TN,1
24872,Houston TX,1
24875,Houston TX,1
24959,Charleston SC,1
24959,Chicago IL,1
25038,Port Authority of New York/New Jersey NY/NJ,1
25266,Los Angeles CA,1
25287,Chicago IL,1
25320,Port Authority of New York/New Jersey NY/NJ,1
25367,Chicago IL,1
25367,Port Authority of New York/New Jersey NY/NJ,1
25410,Chicago IL,1
25410,Houston TX,1
25446,Charleston SC,1
25446,Los Angeles CA,1
25544,Houston TX,1
25732,Philadelphia PA,1
25732,Houston TX,1
25761,Houston TX,1
25961,Memphis TN,1
26036,Los Angeles CA,1
26064,Chicago IL,1
26243,Houston TX,1
26285,Mobile AL,1
26327,New Orleans LA,1
26368,Chicago IL,1
26368,Savannah GA,1
26472,Chicago IL,1
26540,Savannah GA,1
26540,Philadelphia PA,1
26620,Chicago IL,1
26730,Chicago IL,1
26730,Mobile AL,1
26730,Los Angeles CA,1
26815,Philadelphia PA,1
26821,Memphis TN,1
26871,Charleston SC,1
26871,Savannah GA,1
26871,Memphis TN,1
26871,Memphis TN,1
27031,Houston TX,1
27031,Houston TX,1
27143,Memphis TN,1
27180,Chicago IL,1
27180,Los Angeles CA,1
27203,Los Angeles CA,1
27387,Mobile AL,1
27418,New Orleans LA,1
27596,Chicago IL,1
27650,Philadelphia PA,1
27822,Chicago IL,1
27991,Philadelphia PA,1
28090,Charleston SC,1
28095,Port Authority of New York/New Jersey NY/NJ,1
28184,Houston TX,1
28184,Houston TX,1
28285,Houston TX,1
28418,Chicago IL,1
28469,Memphis TN,1
28469,Philadelphia PA,1
28823,Mobile AL,1
28846,Charleston SC,1
28846,Chicago IL,1
29248,New Orleans LA,1
29248,Savannah GA,1
29388,Mobile AL,1
29597,Charleston SC,1
29597,Savannah GA,1
29733,Los Angeles CA,1
29939,Memphis TN,1
30038,New Orleans LA,1
30038,Charleston SC,1
30087,Charleston SC,1
30403,Savannah GA,1
30403,Chicago IL,1
30509,Houston TX,1
30616,Charleston SC,1
30616,Mobile AL,1
30634,Chicago IL,1
30635,Mobile AL,1
30937,Chicago IL,1
31017,Memphis TN,1
31104,Port Authority of New York/New Jersey NY/NJ,1
31148,Mobile AL,1
31155,Los Angeles CA,1
31271,Chicago IL,1
31301,Port Authority of New York/New Jersey NY/NJ,1
31313,Los Angeles CA,1
31333,Port Authority of New York/New Jersey NY/NJ,1
31438,Philadelphia PA,1
31579,New Orleans LA,1
31908,Los Angeles CA,1
32056,Memphis TN,1
32056,Memphis TN,1
32118,Chicago IL,1
32118,Philadelphia PA,1
32206,Charleston SC,1
32206,Los Angeles CA,1
32321,Mobile AL,1
32420,Memphis TN,1
32449,Houston TX,1
32449,Charleston SC,1
32835,Memphis TN,1
32853,Chicago IL,1
33293,Charleston SC,1
33803,Houston TX,1
33874,Chicago IL,1
33918,Memphis TN,1
33929,Chicago IL,1
33952,New Orleans LA,1
33952,Memphis TN,1
34161,Chicago IL,1
34161,Port Authority of New York/New Jersey NY/NJ,1
34231,Port Authority of New York/New Jersey NY/NJ,1
34287,Chicago IL,1
34446,Mobile AL,1
34446,Houston TX,1
34752,Chicago IL,1
34764,Philadelphia PA,1
34764,Philadelphia PA,1
35173,Memphis TN,1
35226,Chicago IL,1
35300,Chicago IL,1
35353,Philadelphia PA,1
35454,Memphis TN,1
35476,Chicago IL,1
35494,Charleston SC,1
35494,Houston TX,1
35974,New Orleans LA,1
36140,Houston TX,1
36140,Chicago IL,1
36377,Los Angeles CA,1
36436,Charleston SC,1
36462,Houston TX,1
36464,Memphis TN,1
36928,Memphis TN,1
36972,Savannah GA,1
37040,Houston TX,1
37079,Los Angeles CA,1
37079,Houston TX,1
37079,Houston TX,1
37140,New Orleans LA,1
37142,Mobile AL,1
37210,Memphis TN,1
37228,Chicago IL,1
37384,Houston TX,1
37429,Los Angeles CA,1
37602,Los Angeles CA,1
37756,Mobile AL,1
37807,Philadelphia PA,1
37807,Savannah GA,1
37807,Mobile AL,1
37807,Mobile AL,1
37836,New Orleans LA,1
37872,Chicago IL,1
37981,Los Angeles CA,1
38133,Chicago IL,1
38149,Chicago IL,1
38511,Philadelphia PA,1
38511,Philadelphia PA,1
38511,Philadelphia PA,1
38576,Philadelphia PA,1
38716,Memphis TN,1
38716,Chicago IL,1
38811,Memphis TN,1
38879,Los Angeles CA,1
38887,Houston TX,1
38887,New Orleans LA,1
38974,Port Authority of New York/New Jersey NY/NJ,1
39058,New Orleans LA,1
39063,Memphis TN,1
39063,New Orleans LA,1
39186,Mobile AL,1
39505,Charleston SC,1
39709,Savannah GA,1
39709,Chicago IL,1
39895,Memphis TN,1
39895,Los Angeles CA,1
39895,Charleston SC,1
39895,Charleston SC,1
39907,Memphis TN,1
39908,Philadelphia PA,1
39998,Chicago IL,1
40030,Charleston SC,1
40186,Memphis TN,1
40190,Philadelphia PA,1
40190,Chicago IL,1
40190,Memphis TN,1
40190,Chicago IL,1
40362,Port Authority of New York/New Jersey NY/NJ,1
40410,Memphis TN,1
40449,New Orleans LA,1
40449,Memphis TN,1
40482,Los Angeles CA,1
40625,Port Authority of New York/New Jersey NY/NJ,1
40625,Savannah GA,1
40625,Chicago IL,1
40625,Houston TX,1
40649,Port Authority of New York/New Jersey NY/NJ,1
40767,Houston TX,1
40852,Chicago IL,1
40881,Chicago IL,1
40881,Memphis TN,1
40881,Chicago IL,1
40895,Charleston SC,1
41069,Charleston SC,1
41069,Houston TX,1
41125,Houston TX,1
41279,New Orleans LA,1
41315,Memphis TN,1
41327,Los Angeles CA,1
41442,Memphis TN,1
41611,Savannah GA,1
41658,Memphis TN,1
41940,Chicago IL,1
41940,Memphis TN,1
42232,Memphis TN,1
42232,Memphis TN,1
42263,Los Angeles CA,1
42263,Chicago IL,1
42424,Chicago IL,1
42499,Memphis TN,1
42590,Los Angeles CA,1
42590,Chicago IL,1
42701,Memphis TN,1
42779,Houston TX,1
42981,Philadelphia PA,1
43010,Chicago IL,1
43208,Memphis TN,1
43208,Memphis TN,1
43208,Savannah GA,1
43208,Mobile AL,1
43379,Houston TX,1
43564,Port Authority of New York/New Jersey NY/NJ,1
43772,Chicago IL,1
43876,Houston TX,1
43876,Los Angeles CA,1
43986,Los Angeles CA,1
44035,Memphis TN,1
44115,Mobile AL,1
44192,Los Angeles CA,1
44192,New Orleans LA,1
44192,Los Angeles CA,1
44192,Memphis TN,1
44403,Houston TX,1
44421,Philadelphia PA,1
44466,Port Authority of New York/New Jersey NY/NJ,1
44466,Houston TX,1
44466,Memphis TN,1
44591,Los Angeles CA,1
44654,Chicago IL,1
44665,Houston TX,1
44665,Chicago IL,1
44777,Chicago IL,1
44993,Mobile AL,1
44993,Charleston SC,1
44993,Charleston SC,1
44993,Port Authority of New York/New Jersey NY/NJ,1
45110,New Orleans LA,1
45355,Port Authority of New York/New Jersey NY/NJ,1
46021,Chicago IL,1
46137,Chicago IL,1
46137,Memphis TN,1
